open_broker_time,close_broker_time,broker_hour,ticket,kind,side,lots,entry,net_pnl,hold_seconds,gap_from_prev_close_s,cumulative_pnl,outcome
2026-05-15 09:21:38,2026-05-15 09:22:26,9,52205182,PROBE,SELL,0.01,4577.47,1.67,48,295,-587.42,WIN
2026-05-15 09:21:39,2026-05-15 09:22:26,9,52205183,PROBE,SELL,0.01,4577.68,1.78,47,-47,-585.64,WIN
2026-05-15 09:22:23,2026-05-15 09:22:25,9,52205264,MAIN,SELL,0.4,4576.52,24.8,2,-3,-560.84,WIN
2026-05-15 09:22:24,2026-05-15 09:22:25,9,52205268,MAIN,SELL,0.4,4576.28,15.2,1,-1,-545.64,WIN
2026-05-15 09:22:28,2026-05-15 09:23:39,9,52205301,PROBE,BUY,0.01,4574.99,1.43,71,3,-544.21,WIN
2026-05-15 09:22:29,2026-05-15 09:23:40,9,52205311,PROBE,BUY,0.01,4575.17,1.66,71,-70,-542.55,WIN
2026-05-15 09:23:25,2026-05-15 09:23:39,9,52205618,MAIN,BUY,0.4,4576.27,5.2,14,-15,-537.35,WIN
2026-05-15 09:23:30,2026-05-15 09:23:40,9,52205633,MAIN,BUY,0.4,4576.55,13.2,10,-9,-524.15,WIN
2026-05-15 09:23:39,2026-05-15 09:24:37,9,52205652,PROBE,SELL,0.01,4576.44,2.32,58,-1,-521.83,WIN
2026-05-15 09:23:41,2026-05-15 09:24:38,9,52205672,PROBE,SELL,0.01,4576.53,2.33,57,-56,-519.5,WIN
2026-05-15 09:24:22,2026-05-15 09:24:37,9,52205725,MAIN,SELL,0.4,4575.35,49.2,15,-16,-470.3,WIN
2026-05-15 09:24:23,2026-05-15 09:24:37,9,52205728,MAIN,SELL,0.4,4575.15,41.2,14,-14,-429.1,WIN
2026-05-15 09:24:37,2026-05-15 09:25:37,9,52205774,PROBE,BUY,0.01,4574.21,1.49,60,0,-427.61,WIN
2026-05-15 09:24:39,2026-05-15 09:25:02,9,52205785,PROBE,BUY,0.01,4573.96,1.4,23,-58,-426.21,WIN
2026-05-15 09:24:54,2026-05-15 09:25:01,9,52205813,MAIN,BUY,0.4,4575.3,3.6,7,-8,-422.61,WIN
2026-05-15 09:25:01,2026-05-15 09:25:36,9,52205826,MAIN,BUY,0.4,4575.39,17.2,35,0,-405.41,WIN
2026-05-15 09:25:02,2026-05-15 09:26:39,9,52205839,PROBE,SELL,0.01,4575.32,-2.73,97,-34,-408.14,LOSS
2026-05-15 09:25:11,2026-05-15 09:26:38,9,52205856,MAIN,SELL,0.4,4573.97,-158.0,87,-88,-566.14,LOSS
2026-05-15 09:25:52,2026-05-15 09:28:03,9,52205978,MAIN,SELL,0.4,4574.14,29.6,131,-46,-536.54,WIN
2026-05-15 09:28:04,2026-05-15 09:36:33,9,52206486,PROBE,SELL,0.01,4573.21,1.22,509,1,-535.32,WIN
2026-05-15 09:30:34,2026-05-15 09:30:37,9,52207128,MAIN,BUY,0.4,4577.79,8.4,3,-359,-526.92,WIN
2026-05-15 09:30:38,2026-05-15 09:30:48,9,52207188,PROBE,BUY,0.01,4578.52,1.45,10,1,-525.47,WIN
2026-05-15 09:30:44,2026-05-15 09:30:47,9,52207375,MAIN,BUY,0.4,4579.88,4.0,3,-4,-521.47,WIN
2026-05-15 09:30:48,2026-05-15 09:38:55,9,52207488,PROBE,BUY,0.01,4580.16,-6.72,487,1,-528.19,LOSS
2026-05-15 09:36:31,2026-05-15 09:36:33,9,52209180,MAIN,SELL,0.4,4571.98,-4.4,2,-144,-532.59,LOSS
2026-05-15 09:36:33,2026-05-15 09:39:28,9,52209252,PROBE,BUY,0.01,4572.01,2.3,175,0,-530.29,WIN
2026-05-15 09:36:41,2026-05-15 09:38:55,9,52209309,MAIN,BUY,0.4,4573.33,5.6,134,-167,-524.69,WIN
2026-05-15 09:38:53,2026-05-15 09:39:28,9,52209633,MAIN,BUY,0.4,4573.55,34.0,35,-2,-490.69,WIN
2026-05-15 09:38:55,2026-05-15 09:40:17,9,52209662,PROBE,SELL,0.01,4573.42,1.91,82,-33,-488.78,WIN
2026-05-15 09:38:58,2026-05-15 09:40:16,9,52209665,MAIN,SELL,0.4,4572.12,24.4,78,-79,-464.38,WIN
2026-05-15 09:41:56,2026-05-15 09:44:43,9,52210606,MAIN,SELL,0.4,4570.1,81.2,167,100,-383.18,WIN
2026-05-15 09:44:43,2026-05-15 09:45:05,9,52211068,PROBE,BUY,0.01,4567.97,1.77,22,0,-381.41,WIN
2026-05-15 09:45:00,2026-05-15 09:45:04,9,52211235,MAIN,BUY,0.4,4569.5,7.6,4,-5,-373.81,WIN
2026-05-15 09:45:05,2026-05-15 09:48:15,9,52211317,PROBE,SELL,0.01,4569.74,1.65,190,1,-372.16,WIN
2026-05-15 09:47:40,2026-05-15 09:48:14,9,52211607,MAIN,SELL,0.4,4568.53,17.6,34,-35,-354.56,WIN
2026-05-15 09:48:15,2026-05-15 09:48:22,9,52211713,PROBE,SELL,0.01,4567.73,1.54,7,1,-353.02,WIN
2026-05-15 09:48:20,2026-05-15 09:48:22,9,52211819,MAIN,SELL,0.4,4566.55,14.4,2,-2,-338.62,WIN
2026-05-15 09:48:22,2026-05-15 09:49:01,9,52211896,PROBE,SELL,0.01,4566.14,-2.51,39,0,-341.13,LOSS
2026-05-15 09:48:23,2026-05-15 09:49:01,9,52211912,MAIN,SELL,0.4,4564.73,-157.6,38,-38,-498.73,LOSS
2026-05-15 09:56:32,2026-05-15 09:57:01,9,52214269,PROBE,SELL,0.01,4570.4,1.56,29,451,-497.17,WIN
2026-05-15 09:56:45,2026-05-15 09:57:01,9,52214321,MAIN,SELL,0.4,4568.8,-1.2,16,-16,-498.37,LOSS
2026-05-15 10:13:24,2026-05-15 10:13:42,10,52218777,PROBE,BUY,0.01,4582.92,1.19,18,983,-497.18,WIN
2026-05-15 10:13:36,2026-05-15 10:13:41,10,52218815,MAIN,BUY,0.4,4583.94,6.0,5,-6,-491.18,WIN
2026-05-15 10:19:07,2026-05-15 10:19:26,10,52219934,PROBE,BUY,0.01,4584.71,1.78,19,326,-489.4,WIN
2026-05-15 10:19:19,2026-05-15 10:19:26,10,52219937,MAIN,BUY,0.4,4585.96,21.2,7,-7,-468.2,WIN
